title,imdb,Genre,year,duration,certificate,description,Director,Stars
The Bridge on the River Kwai,81,Adventure,1957,161,PG,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",Director: David Lean ," Stars: William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
The Third Man,81,Film-Noir,1949,93,Approved,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Director: Carol Reed ," Stars: Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard"
Persona,81,Drama,1966,83,Not Rated,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Director: Ingmar Bergman ," Stars: Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand"
Rebecca,81,Drama,1940,130,Approved,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Director: Alfred Hitchcock ," Stars: Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson"
The Man Who Shot Liberty Valance,81,Drama,1962,123,Approved,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.,Director: John Ford ," Stars: James Stewart, John Wayne, Vera Miles, Lee Marvin"
On the Waterfront,81,Crime,1954,108,Approved,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",Director: Elia Kazan ," Stars: Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger"
Hotel Rwanda,81,Biography,2004,121,PG-13,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Director: Terry George ," Stars: Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali"
It Happened One Night,81,Comedy,1934,105,Passed,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",Director: Frank Capra ," Stars: Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"
The 400 Blows,81,Crime,1959,99,Not Rated,"A young boy, left without attention, delves into a life of petty crime.",Director: François Truffaut ," Stars: Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble"
Neon Genesis Evangelion: The End of Evangelion,81,Animation,1997,87,TV-MA,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,"Directors: Hideaki Anno, Kazuya Tsurumaki "," Stars: Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi"
Tokyo Story,81,Drama,1953,136,Not Rated,"An old couple visit their children and grandchildren in the city, but receive little attention.",Director: Yasujirô Ozu ," Stars: Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara"
PK,81,Comedy,2014,153,Not Rated,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,Director: Rajkumar Hirani ," Stars: Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
Paper Moon,81,Comedy,1973,102,PG,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Director: Peter Bogdanovich ," Stars: Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman"
The Best Years of Our Lives,81,Drama,1946,170,Approved,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",Director: William Wyler ," Stars: Myrna Loy, Dana Andrews, Fredric March, Teresa Wright"
The Grapes of Wrath,81,Drama,1940,129,Passed,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Director: John Ford ," Stars: Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin"
Mary and Max,81,Animation,2009,92,Not Rated,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Director: Adam Elliot ," Stars: Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries"
The Celebration,81,Drama,1998,105,R,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Director: Thomas Vinterberg ," Stars: Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen"
Farewell My Concubine,81,Drama,1992,171,R,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Director: Kaige Chen ," Stars: Leslie Cheung, Fengyi Zhang, Gong Li, You Ge"
OMG: Oh My God!,81,Comedy,2012,125,Not Rated,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Director: Umesh Shukla ," Stars: Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
All Quiet on the Western Front,81,Drama,1930,152,Passed,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Director: Lewis Milestone ," Stars: Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy"
Three Colors: Red,81,Drama,1994,99,R,A model discovers a retired judge is keen on invading people's privacy.,Director: Krzysztof Kieslowski ," Stars: Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit"
Bajrangi Bhaijaan,81,Action,2015,163,Not Rated,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Directors: Kabir Khan, Mehmet Tutkun "," Stars: Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
The Red Shoes,81,Drama,1948,135,Not Rated,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Directors: Michael Powell, Emeric Pressburger "," Stars: Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann"
A Woman Under the Influence,81,Drama,1974,155,R,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.",Director: John Cassavetes ," Stars: Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands"
Fanny and Alexander,81,Drama,1982,188,R,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Director: Ingmar Bergman ," Stars: Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt"
Wild Strawberries,81,Drama,1957,91,Not Rated,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Director: Ingmar Bergman ," Stars: Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand"
Underground,81,Comedy,1995,167,Not Rated,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",Director: Emir Kusturica ," Stars: Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac"
The Battle of Algiers,81,Drama,1966,121,Not Rated,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Director: Gillo Pontecorvo ," Stars: Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash"
The Message,81,Biography,1976,177,PG,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,Director: Moustapha Akkad ," Stars: Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka"
Lagaan: Once Upon a Time in India,81,Drama,2001,224,PG,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Director: Ashutosh Gowariker ," Stars: Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
Dil Chahta Hai,81,Comedy,2001,183,Not Rated,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Director: Farhan Akhtar ," Stars: Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta"
The Hidden Fortress,81,Action,1958,126,Not Rated,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Director: Akira Kurosawa ," Stars: Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara"
Yi Yi: A One and a Two...,81,Drama,2000,173,Not Rated,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.,Director: Edward Yang ," Stars: Nien-Jen Wu, Elaine Jin, Issei Ogata, Kelly Lee"
Winter Sleep,81,Drama,2014,196,Not Rated,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Director: Nuri Bilge Ceylan ," Stars: Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan"
Andrei Rublev,81,Biography,1966,205,R,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Director: Andrei Tarkovsky ," Stars: Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev"
Mr. Smith Goes to Washington,81,Comedy,1939,129,Passed,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Director: Frank Capra ," Stars: James Stewart, Jean Arthur, Claude Rains, Edward Arnold"
Diabolique,81,Crime,1955,117,Not Rated,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Director: Henri-Georges Clouzot ," Stars: Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel"
The Passion of Joan of Arc,81,Biography,1928,114,Passed,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Director: Carl Theodor Dreyer ," Stars: Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz"
The General,81,Action,1926,78,Passed,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Directors: Clyde Bruckman, Buster Keaton "," Stars: Buster Keaton, Marion Mack, Glen Cavender, Jim Farley"
Sunrise,81,Drama,1927,94,Passed,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment.",Director: F.W. Murnau ," Stars: George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing"
Inherit the Wind,81,Biography,1960,128,Passed,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution.",Director: Stanley Kramer ," Stars: Spencer Tracy, Fredric March, Gene Kelly, Dick York"
Munna Bhai M.B.B.S.,81,Comedy,2003,156,Not Rated,A gangster sets out to fulfill his father's dream of becoming a doctor.,Director: Rajkumar Hirani ," Stars: Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
Autumn Sonata,81,Drama,1978,99,PG,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",Director: Ingmar Bergman ," Stars: Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk"
The Gold Rush,81,Adventure,1925,95,Passed,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Director: Charles Chaplin ," Stars: Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman"
Throne of Blood,81,Drama,1957,110,Not Rated,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Director: Akira Kurosawa ," Stars: Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura"
A Wednesday,81,Action,2008,104,Not Rated,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,Director: Neeraj Pandey ," Stars: Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual"
Wolf Children,81,Animation,2012,117,PG,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Director: Mamoru Hosoda ," Stars: Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii"
The Virgin Spring,81,Drama,1960,89,Not Rated,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Director: Ingmar Bergman ," Stars: Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson"
